,fp.independence.betterScore.vec,fp.independence.warseScore.vec,fp.dependence.betterScore.vec,fp.dependence.warseScore.vec
10,81.9672131147541,3.27868852459016,14.7540983606557,0
15,68.9189189189189,8.10810810810811,22.972972972973,0
20,64.7058823529412,5.88235294117647,29.4117647058824,0
25,50,2.63157894736842,47.3684210526316,0
30,32.8571428571429,10,57.1428571428571,0
35,34.6153846153846,5.12820512820513,60.2564102564103,0
40,27.2727272727273,4.54545454545455,68.1818181818182,0
45,25.5813953488372,9.30232558139535,65.1162790697674,0
50,36.5853658536585,4.8780487804878,58.5365853658537,0
55,29.8701298701299,2.5974025974026,67.5324675324675,0
60,32.3529411764706,4.41176470588235,63.2352941176471,0
65,19.1176470588235,5.88235294117647,75,0
70,22.8571428571429,4.28571428571429,72.8571428571429,0
75,14.9253731343284,7.46268656716418,77.6119402985075,0
80,14.5161290322581,1.61290322580645,83.8709677419355,0
85,16.6666666666667,5,78.3333333333333,0
90,13.8461538461538,7.69230769230769,78.4615384615385,0
95,6.55737704918033,4.91803278688525,88.5245901639344,0
100,17.4603174603175,4.76190476190476,77.7777777777778,0
105,9.33333333333333,6.66666666666667,84,0
110,6.77966101694915,5.08474576271186,88.135593220339,0
115,4.25531914893617,14.8936170212766,78.7234042553192,2.12765957446809
120,3.125,6.25,90.625,0
125,7.27272727272727,0,92.7272727272727,0
130,1.78571428571429,5.35714285714286,92.8571428571429,0
135,8.47457627118644,6.77966101694915,84.7457627118644,0
140,3.33333333333333,6.66666666666667,90,0
145,2.08333333333333,4.16666666666667,91.6666666666667,2.08333333333333
150,0,5,95,0
155,3.38983050847458,15.2542372881356,81.3559322033898,0
160,4,18,78,0
165,2.04081632653061,4.08163265306122,93.8775510204082,0
170,6.34920634920635,6.34920634920635,84.1269841269841,3.17460317460317
175,7.54716981132075,3.77358490566038,88.6792452830189,0
180,0,2.38095238095238,97.6190476190476,0
185,4.76190476190476,7.14285714285714,88.0952380952381,0
190,5.66037735849057,7.54716981132075,86.7924528301887,0
195,7.40740740740741,5.55555555555556,85.1851851851852,1.85185185185185
200,4.08163265306122,8.16326530612245,87.7551020408163,0
205,8.16326530612245,2.04081632653061,87.7551020408163,2.04081632653061
210,8.47457627118644,1.69491525423729,89.8305084745763,0
215,9.52380952380952,4.76190476190476,85.7142857142857,0
220,5.55555555555556,1.85185185185185,90.7407407407407,1.85185185185185
225,2,8,90,0
230,3.44827586206897,6.89655172413793,87.9310344827586,1.72413793103448
235,2.85714285714286,11.4285714285714,85.7142857142857,0
240,5,5,87.5,2.5
245,8.16326530612245,4.08163265306122,87.7551020408163,0
250,0,3.125,96.875,0
255,0,2.27272727272727,93.1818181818182,4.54545454545455
260,0,3.57142857142857,94.6428571428571,1.78571428571429
265,0,5.26315789473684,94.7368421052632,0
270,2.08333333333333,2.08333333333333,93.75,2.08333333333333
275,2.85714285714286,2.85714285714286,94.2857142857143,0
280,6.38297872340426,4.25531914893617,89.3617021276596,0
285,6.81818181818182,2.27272727272727,90.9090909090909,0
290,1.85185185185185,3.7037037037037,92.5925925925926,1.85185185185185
295,0,0,97.6190476190476,2.38095238095238
300,4.54545454545455,2.27272727272727,90.9090909090909,2.27272727272727
305,0,5.55555555555556,91.6666666666667,2.77777777777778
310,4.65116279069767,0,93.0232558139535,2.32558139534884
315,5.12820512820513,0,94.8717948717949,0
320,0,3.44827586206897,96.551724137931,0
325,4.54545454545455,2.27272727272727,93.1818181818182,0
330,5.40540540540541,0,91.8918918918919,2.7027027027027
335,13.5135135135135,0,81.0810810810811,5.40540540540541
340,2.4390243902439,2.4390243902439,95.1219512195122,0
345,4.54545454545455,0,93.1818181818182,2.27272727272727
350,2.7027027027027,5.40540540540541,91.8918918918919,0
355,0,0,100,0
360,2.17391304347826,4.34782608695652,93.4782608695652,0
365,2.27272727272727,0,95.4545454545455,2.27272727272727
370,0,4.44444444444444,95.5555555555556,0
375,2.4390243902439,0,95.1219512195122,2.4390243902439
380,2.85714285714286,2.85714285714286,94.2857142857143,0
385,2.56410256410256,2.56410256410256,94.8717948717949,0
390,2.85714285714286,5.71428571428571,91.4285714285714,0
395,6.66666666666667,0,93.3333333333333,0
400,0,0,100,0
405,2.77777777777778,0,91.6666666666667,5.55555555555556
410,0,4.54545454545455,95.4545454545455,0
415,3.84615384615385,3.84615384615385,92.3076923076923,0
420,0,0,100,0
425,0,0,100,0
430,0,3.125,96.875,0
435,4.76190476190476,0,95.2380952380952,0
440,0,5.12820512820513,94.8717948717949,0
445,3.03030303030303,6.06060606060606,90.9090909090909,0
450,0,3.44827586206897,96.551724137931,0
455,9.09090909090909,4.54545454545455,86.3636363636364,0
460,3.33333333333333,3.33333333333333,90,3.33333333333333
465,0,0,96.875,3.125
470,2.5,5,92.5,0
475,10,0,90,0
480,2.85714285714286,2.85714285714286,94.2857142857143,0
485,0,0,97.6190476190476,2.38095238095238
490,0,8.10810810810811,91.8918918918919,0
495,6.25,0,93.75,0
500,5.88235294117647,2.94117647058824,91.1764705882353,0
