,fp.independence.betterScore.vec,fp.independence.warseScore.vec,fp.dependence.betterScore.vec,fp.dependence.warseScore.vec
10,79.1666666666667,6.25,14.5833333333333,0
15,58.6206896551724,13.7931034482759,27.5862068965517,0
20,64.7058823529412,7.35294117647059,27.9411764705882,0
25,37.1428571428571,5.71428571428571,57.1428571428571,0
30,46.7532467532468,5.19480519480519,48.0519480519481,0
35,30.9859154929577,5.63380281690141,63.3802816901408,0
40,34.8484848484849,1.51515151515152,63.6363636363636,0
45,24.0506329113924,2.53164556962025,73.4177215189873,0
50,31.3432835820896,2.98507462686567,65.6716417910448,0
55,16.9230769230769,3.07692307692308,80,0
60,26.4285714285714,2.85714285714286,70.7142857142857,0
65,15.9420289855072,0,84.0579710144928,0
70,14.6666666666667,2.66666666666667,82.6666666666667,0
75,16.2162162162162,4.05405405405405,79.7297297297297,0
80,15.2542372881356,1.69491525423729,83.0508474576271,0
85,12.5,1.5625,85.9375,0
90,16.3636363636364,3.63636363636364,80,0
95,14.9253731343284,10.4477611940299,74.6268656716418,0
100,9.61538461538461,5.76923076923077,84.6153846153846,0
105,11.1111111111111,6.34920634920635,82.5396825396825,0
110,12.5,16.0714285714286,71.4285714285714,0
115,8.88888888888889,6.66666666666667,84.4444444444444,0
120,8.51063829787234,6.38297872340426,85.1063829787234,0
125,6.25,16.6666666666667,77.0833333333333,0
130,5.26315789473684,1.75438596491228,92.9824561403509,0
135,7.69230769230769,3.07692307692308,89.2307692307692,0
140,11.5384615384615,5.76923076923077,82.6923076923077,0
145,4.25531914893617,8.51063829787234,87.2340425531915,0
150,7.14285714285714,0,92.8571428571429,0
155,4.76190476190476,4.76190476190476,88.0952380952381,2.38095238095238
160,14.8936170212766,8.51063829787234,76.5957446808511,0
165,2.5,2.5,92.5,2.5
170,10.3448275862069,3.44827586206897,84.4827586206897,1.72413793103448
175,6,6,88,0
180,4.16666666666667,8.33333333333333,87.5,0
185,5.35714285714286,5.35714285714286,87.5,1.78571428571429
190,6.12244897959184,2.04081632653061,91.8367346938775,0
195,4.25531914893617,6.38297872340426,87.2340425531915,2.12765957446809
200,15.6862745098039,1.96078431372549,82.3529411764706,0
205,13.2075471698113,5.66037735849057,81.1320754716981,0
210,16,6,78,0
215,0,2.85714285714286,94.2857142857143,2.85714285714286
220,13.6363636363636,0,75,11.3636363636364
225,4.34782608695652,2.17391304347826,89.1304347826087,4.34782608695652
230,9.30232558139535,6.97674418604651,81.3953488372093,2.32558139534884
235,15.7894736842105,5.26315789473684,78.9473684210526,0
240,5,7.5,87.5,0
245,2.17391304347826,0,97.8260869565217,0
250,7.5,0,92.5,0
255,11.3207547169811,3.77358490566038,84.9056603773585,0
260,2.27272727272727,4.54545454545455,93.1818181818182,0
265,2.63157894736842,0,94.7368421052632,2.63157894736842
270,5.26315789473684,5.26315789473684,86.8421052631579,2.63157894736842
275,5.88235294117647,0,94.1176470588235,0
280,0,4,96,0
285,0,5.12820512820513,94.8717948717949,0
290,8.82352941176471,2.94117647058824,88.2352941176471,0
295,6.25,6.25,84.375,3.125
300,10.3448275862069,3.44827586206897,86.2068965517241,0
305,2.4390243902439,2.4390243902439,95.1219512195122,0
310,4.65116279069767,9.30232558139535,83.7209302325581,2.32558139534884
315,4.08163265306122,2.04081632653061,89.7959183673469,4.08163265306122
320,0,10.2564102564103,89.7435897435897,0
325,3.57142857142857,0,96.4285714285714,0
330,0,0,96.4285714285714,3.57142857142857
335,5.40540540540541,2.7027027027027,91.8918918918919,0
340,5.55555555555556,2.77777777777778,91.6666666666667,0
345,5.88235294117647,0,91.1764705882353,2.94117647058824
350,2.94117647058824,5.88235294117647,91.1764705882353,0
355,4.8780487804878,0,95.1219512195122,0
360,5.55555555555556,0,94.4444444444444,0
365,3.03030303030303,0,93.9393939393939,3.03030303030303
370,4,4,92,0
375,2.17391304347826,0,93.4782608695652,4.34782608695652
380,3.57142857142857,3.57142857142857,92.8571428571429,0
385,3.03030303030303,3.03030303030303,93.9393939393939,0
390,0,5.55555555555556,94.4444444444444,0
395,0,0,100,0
400,2.77777777777778,0,97.2222222222222,0
405,2.94117647058824,0,94.1176470588235,2.94117647058824
410,2.32558139534884,0,95.3488372093023,2.32558139534884
415,7.89473684210526,2.63157894736842,89.4736842105263,0
420,0,11.5384615384615,84.6153846153846,3.84615384615385
425,18.1818181818182,4.54545454545455,77.2727272727273,0
430,4.16666666666667,8.33333333333333,87.5,0
435,0,0,96.6666666666667,3.33333333333333
440,3.2258064516129,0,96.7741935483871,0
445,3.03030303030303,0,96.969696969697,0
450,8,4,88,0
455,7.14285714285714,0,89.2857142857143,3.57142857142857
460,0,0,100,0
465,2.4390243902439,2.4390243902439,95.1219512195122,0
470,0,4.16666666666667,95.8333333333333,0
475,2.77777777777778,2.77777777777778,94.4444444444444,0
480,5.88235294117647,2.94117647058824,91.1764705882353,0
485,5.88235294117647,2.94117647058824,91.1764705882353,0
490,0,4,96,0
495,3.57142857142857,3.57142857142857,89.2857142857143,3.57142857142857
500,7.40740740740741,0,92.5925925925926,0
