,fp.independence.betterScore.vec,fp.independence.warseScore.vec,fp.dependence.betterScore.vec,fp.dependence.warseScore.vec
10,63.6363636363636,11.3636363636364,25,0
15,67.6470588235294,2.94117647058824,29.4117647058824,0
20,46.969696969697,7.57575757575758,45.4545454545455,0
25,49.3333333333333,1.33333333333333,49.3333333333333,0
30,40.7894736842105,2.63157894736842,56.5789473684211,0
35,34.7222222222222,2.77777777777778,62.5,0
40,29.4117647058824,3.52941176470588,67.0588235294118,0
45,19.4029850746269,2.98507462686567,77.6119402985075,0
50,23.1884057971014,2.89855072463768,73.9130434782609,0
55,16.6666666666667,1.38888888888889,81.9444444444444,0
60,14.9253731343284,2.98507462686567,82.089552238806,0
65,13.5135135135135,6.75675675675676,79.7297297297297,0
70,19.4029850746269,5.97014925373134,74.6268656716418,0
75,11.7647058823529,5.88235294117647,82.3529411764706,0
80,15.9420289855072,7.2463768115942,76.8115942028985,0
85,9.83606557377049,3.27868852459016,86.8852459016394,0
90,9.23076923076923,6.15384615384615,83.0769230769231,1.53846153846154
95,6.25,3.125,90.625,0
100,10.3448275862069,10.3448275862069,77.5862068965517,1.72413793103448
105,8.47457627118644,6.77966101694915,84.7457627118644,0
110,9.67741935483871,6.45161290322581,82.258064516129,1.61290322580645
115,9.83606557377049,6.55737704918033,81.9672131147541,1.63934426229508
120,8.19672131147541,1.63934426229508,85.2459016393443,4.91803278688525
125,10,7.14285714285714,81.4285714285714,1.42857142857143
130,3.77358490566038,5.66037735849057,90.5660377358491,0
135,9.43396226415094,9.43396226415094,81.1320754716981,0
140,5.55555555555556,1.58730158730159,91.2698412698413,1.58730158730159
145,1.58730158730159,9.52380952380952,87.3015873015873,1.58730158730159
150,3.77358490566038,1.88679245283019,92.4528301886792,1.88679245283019
155,1.81818181818182,3.63636363636364,90.9090909090909,3.63636363636364
160,10.7843137254902,3.92156862745098,85.2941176470588,0
165,6.89655172413793,1.72413793103448,86.2068965517241,5.17241379310345
170,2.38095238095238,4.76190476190476,92.8571428571429,0
175,7.5,5,87.5,0
180,3.84615384615385,7.69230769230769,86.5384615384615,1.92307692307692
185,6.97674418604651,4.65116279069767,88.3720930232558,0
190,8.33333333333333,6.25,83.3333333333333,2.08333333333333
195,4.16666666666667,4.16666666666667,87.5,4.16666666666667
200,6.97674418604651,6.97674418604651,86.046511627907,0
205,5.76923076923077,5.76923076923077,86.5384615384615,1.92307692307692
210,4.25531914893617,4.25531914893617,89.3617021276596,2.12765957446809
215,6.38297872340426,2.12765957446809,89.3617021276596,2.12765957446809
220,6,2,92,0
225,2.38095238095238,11.9047619047619,85.7142857142857,0
230,4.54545454545455,11.3636363636364,79.5454545454545,4.54545454545455
235,10.6382978723404,4.25531914893617,80.8510638297872,4.25531914893617
240,6.38297872340426,2.12765957446809,91.4893617021277,0
245,2.5,0,97.5,0
250,10.8108108108108,2.7027027027027,83.7837837837838,2.7027027027027
255,2.12765957446809,6.38297872340426,89.3617021276596,2.12765957446809
260,2.32558139534884,0,95.3488372093023,2.32558139534884
265,0,2.85714285714286,91.4285714285714,5.71428571428571
270,2.56410256410256,5.12820512820513,89.7435897435897,2.56410256410256
275,6.97674418604651,6.97674418604651,86.046511627907,0
280,0,2.77777777777778,97.2222222222222,0
285,8.57142857142857,0,91.4285714285714,0
290,6.97674418604651,0,88.3720930232558,4.65116279069767
295,7.14285714285714,0,85.7142857142857,7.14285714285714
300,5.40540540540541,2.7027027027027,86.4864864864865,5.40540540540541
305,5.40540540540541,5.40540540540541,89.1891891891892,0
310,2.63157894736842,2.63157894736842,94.7368421052632,0
315,0,3.33333333333333,96.6666666666667,0
320,4.08163265306122,4.08163265306122,89.7959183673469,2.04081632653061
325,2.85714285714286,0,97.1428571428571,0
330,7.14285714285714,3.57142857142857,89.2857142857143,0
335,2.04081632653061,0,97.9591836734694,0
340,2.85714285714286,8.57142857142857,88.5714285714286,0
345,0,2.94117647058824,94.1176470588235,2.94117647058824
350,0,0,100,0
355,2.22222222222222,6.66666666666667,86.6666666666667,4.44444444444444
360,5,0,91.6666666666667,3.33333333333333
365,0,0,100,0
370,0,3.33333333333333,93.3333333333333,3.33333333333333
375,0,2.94117647058824,97.0588235294118,0
380,0,0,100,0
385,0,9.52380952380952,90.4761904761905,0
390,0,0,100,0
395,0,0,100,0
400,0,2.56410256410256,97.4358974358974,0
405,0,0,100,0
410,0,2.77777777777778,94.4444444444444,2.77777777777778
415,0,0,96.6666666666667,3.33333333333333
420,0,3.03030303030303,96.969696969697,0
425,0,3.03030303030303,96.969696969697,0
430,0,3.33333333333333,96.6666666666667,0
435,0,0,100,0
440,0,0,100,0
445,0,3.33333333333333,93.3333333333333,3.33333333333333
450,0,0,97.3684210526316,2.63157894736842
455,0,0,100,0
460,0,2.85714285714286,97.1428571428571,0
465,0,0,96.551724137931,3.44827586206897
470,0,0,100,0
475,0,0,100,0
480,0,0,95.8333333333333,4.16666666666667
485,0,0,96.1538461538462,3.84615384615385
490,0,0,100,0
495,0,0,100,0
500,0,4.34782608695652,95.6521739130435,0
