,independence.betterScore.vec,independence.warseScore.vec,dependence.betterScore.vec,dependence.warseScore.vec
5,0,100,0,0
10,11.9047619047619,88.0952380952381,0,0
15,16.4835164835165,75.8241758241758,7.69230769230769,0
20,15.0670794633643,69.6594427244582,15.2734778121775,0
25,10.4743083003953,65.4150197628458,24.1106719367589,0
30,9.30487137383689,60.9195402298851,29.7755883962781,0
35,7.01871657754011,58.2219251336898,34.7593582887701,0
40,6.56526972316446,55.2686289528395,38.1661013239961,0
45,4.89278163696768,52.914527333132,42.1926910299003,0
50,3.83195831524099,51.0312635692575,45.1367781155015,0
55,3.03176906950492,49.3791323980003,47.5568456700532,0.0322528624415417
60,2.7500076901781,47.5406810421729,49.6354855578455,0.073825709803439
65,1.93932411674347,46.1213517665131,51.8433179723502,0.0960061443932412
70,1.7597434820781,44.799022788869,53.2732755659045,0.167958163148452
75,1.36369245958287,43.557941503147,54.7821794397137,0.296186597556461
80,0.930714854765488,42.5005374372463,56.2247878703575,0.343959837630724
85,0.717853994374711,41.2745056882583,57.4367155031275,0.570924814239537
90,0.634003733577542,40.2539537177274,58.3935049839738,0.718537564721214
95,0.513264301274209,39.2587508579272,59.4700247679866,0.757960072811912
100,0.385083742962977,38.3113695337554,60.3523133714592,0.951233351822453
105,0.314106225014278,37.378640776699,61.1518692615209,1.1553837367658
110,0.255318338144369,36.6686672954357,61.8889746301219,1.18703973629807
115,0.179652671501763,35.8224100073192,62.6023022157163,1.39563510546277
120,0.159229271891286,35.0768208195925,63.2388548639795,1.52509504453672
125,0.131560279114161,34.2933794224246,63.8609072500032,1.71415304845804
130,0.0995696758835378,33.711774400293,64.4192913385827,1.7693645852408
135,0.0918170596096755,33.058222217688,64.9391456932698,1.91081502943247
140,0.0657550760407225,32.4850624102432,65.4628312583193,1.98635125539682
145,0.0525296299944187,31.8608621425523,65.959978988148,2.1266292393053
150,0.0399797139969719,31.3174426309613,66.4203718853767,2.22220576966502
