num, name, organism, type, Dataset, Platforms, samples, series
1,"Acute Dengue patients: whole blood","Homo sapiens","Expression profiling by array, transformed count, 4 disease state, 37 individual, 2 infection sets","GDS5093","GPL13158",56,"GSE51808"
2,"First, second and third trimester pregnancy: maternal cell-free plasma","Homo sapiens","Expression profiling by array, transformed count, 5 development stage, 15 individual sets","GDS5088","GPL6244",48,"GSE56899"
3,"Dendritic cell response to Leishmania major infection: time course","Homo sapiens","Expression profiling by array, count, 2 infection, 4 time sets","GDS5086","GPL570",15,"GSE42088"
4,"Oncogenic BRAF harboring melanoma cell line response to BRAF inhibition","Homo sapiens","Expression profiling by array, transformed count, 2 agent sets","GDS5085","GPL6244",6,"GSE42872"
5,"Carotid artery atheroma","Homo sapiens","Expression profiling by array, transformed count, 32 individual, 2 specimen sets","GDS5083","GPL6244",64,"GSE43292"
6,"Undifferentiated amniotic-fluid kidney progenitor cells","Homo sapiens","Expression profiling by array, transformed count, 2 cell line, 2 growth protocol sets","GDS5080","GPL6244",6,"GSE49439"
7,"Transmembrane protein 88 depletion effect on stem cell cardiac differentiation in vitro","Homo sapiens","Expression profiling by array, transformed count, 3 other, 2 protocol sets","GDS5077","GPL10558",4,"GSE43805"
8,"PIAS1 SUMO ligase depletion effect on breast cancer cell line","Homo sapiens","Expression profiling by array, count, 2 growth protocol, 2 protocol sets","GDS5076","GPL571",4,"GSE44024"
9,"First-time acute myocardial infarction: peripheral blood","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS5074","GPL570",52,"GSE48060"
10,"High grade prostate cancer","Homo sapiens","Expression profiling by array, count, 2 disease state, 3 other sets","GDS5072","GPL570",11,"GSE45016"
11,"Non-syndromic cleft lip and palate: dental pulp stem cell cultures","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 2 gender sets","GDS5071","GPL6244",13,"GSE42589"
12,"Zinc finger transcription factor ZXDC depletion effect on myeloid cell line undergoing differentiation","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 2 protocol sets","GDS5070","GPL570",12,"GSE45417"
13,"Oligooxopiperazine effect on hypoxic alveolar adenocarcinoma cell line","Homo sapiens","Expression profiling by array, count, 4 agent, 2 stress sets","GDS5067","GPL6244",15,"GSE48134"
14,"Neuroserpin G392E mutant expression","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 4 genotype/variation sets","GDS5064","GPL10558",24,"GSE46230"
15,"Acute myeloid leukemia fusion oncogenes in vitro effect on primary CD34+ cells: time course","Homo sapiens","Expression profiling by array, transformed count, 10 protocol, 3 time sets","GDS5059","GPL570",30,"GSE57194"
16,"Peripheral blood mononuclear cells response to Lassa Virus and Mopeia/Lassa reassortant 29: time course","Homo sapiens","Expression profiling by array, transformed count, 3 dose, 3 protocol sets","GDS5058","GPL570",27,"GSE41300"
17,"Morbidly obese and non-obese individuals: adipose stem cells","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS5056","GPL6244",6,"GSE48964"
18,"Cocaine abuse effect on the midbrain","Homo sapiens","Expression profiling by array, count, 2 agent, 20 individual sets","GDS5047","GPL6947",60,"GSE54839"
19,"Prechondrocyte differentiation","Homo sapiens","Expression profiling by array, transformed count, 2 cell type, 2 development stage sets","GDS5046","GPL570",9,"GSE51812"
20,"Prechondrocytes","Homo sapiens","Expression profiling by array, transformed count, 2 cell type sets","GDS5045","GPL570",12,"GSE51812"
21,"V-ets erythroblastosis virus E26 oncogene homolog 2 knockdown effect on lung cancer cells","Homo sapiens","Expression profiling by array, transformed count, 2 protocol sets","GDS5040","GPL6244",6,"GSE43459"
22,"Severe asthma: bronchial epithelial cell","Homo sapiens","Expression profiling by array, transformed count, 3 disease state, 2 gender sets","GDS5037","GPL6480",108,"GSE43696"
