num, name, organism, type, Dataset, Platforms, samples, series1,series2
1548,Myogenic precursor cells differentially participate in vascular remodeling in Juvenile Dermatomyositis and Duchenne Muscular Dystrophy,Homo sapiens,Expression profiling by array,NoData,GPL19803,18,GSE66845,GSE66845
1549,Human alveolar epithelial cells (A549) exposed to cigarette smoke extract,Homo sapiens,Expression profiling by array,NoData,GPL6244,36,GSE77942,GSE77942
1550,Gene Expression Profiling of human monocytes: Combination Therapy with Anti–CTLA-4 and Anti–PD-1 Leads to Distinct Immunologic Changes In Vivo,Homo sapiens,Expression profiling by array,NoData,GPL17585,39,GSE77924,GSE77924
1551,Expression data from CD1d tetramer-sorted b-GL122/LGL1–specific human T cells or iNKT cells,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE77909,GSE77909
1552,Expression data from U-937 cells exposed to nanosecond duration electrical pulses,Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE77908,GSE77908
1553,Expression data from Jurkat Clone E-6 cells exposed to nanosecond duration electrical pulses,Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE77907,GSE77907
1554,Expression data from HDFA cells exposed to nanosecond duration electrical pulses,Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE77906,GSE77906
1555,Whole genome transcriptional analysis of leukemic CLL cells purified from bone marrow of xeno-transplanted mice,Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE57787,GSE57787
1556,Identification of the gene expression in IPF lung fibroblasts after demethylation,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE69764,GSE69764
1557,Exvivo Experiment,Homo sapiens,Expression profiling by array,NoData,GPL15242,70,GSE35861,GSE35861
1558,Kenyan malaria patient Experiment,Homo sapiens,Expression profiling by array,NoData,GPL15240,24,GSE35860,GSE35860
1559,Vietnam Timecourse Experiment,Homo sapiens,Expression profiling by array,NoData,GPL15241,36,GSE35859,GSE35859
1560,Vietnamese malaria patient experiment,Homo sapiens,Expression profiling by array,NoData,GPL15240,37,GSE35858,GSE35858
