num, name, organism, type, Dataset, Platforms, samples, series
1,Myogenic precursor cells differentially participate in vascular remodeling in Juvenile Dermatomyositis and Duchenne Muscular Dystrophy,Homo sapiens,Expression profiling by array,NoData,GPL19803,18,GSE66845,GSE66845
2,Human alveolar epithelial cells (A549) exposed to cigarette smoke extract,Homo sapiens,Expression profiling by array,NoData,GPL6244,36,GSE77942,GSE77942
3,Gene Expression Profiling of human monocytes: Combination Therapy with Anti–CTLA-4 and Anti–PD-1 Leads to Distinct Immunologic Changes In Vivo,Homo sapiens,Expression profiling by array,NoData,GPL17585,39,GSE77924,GSE77924
4,Expression data from CD1d tetramer-sorted b-GL122/LGL1–specific human T cells or iNKT cells,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE77909,GSE77909
5,Expression data from U-937 cells exposed to nanosecond duration electrical pulses,Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE77908,GSE77908
6,Expression data from Jurkat Clone E-6 cells exposed to nanosecond duration electrical pulses,Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE77907,GSE77907
7,Expression data from HDFA cells exposed to nanosecond duration electrical pulses,Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE77906,GSE77906
8,Whole genome transcriptional analysis of leukemic CLL cells purified from bone marrow of xeno-transplanted mice,Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE57787,GSE57787
9,Identification of the gene expression in IPF lung fibroblasts after demethylation,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE69764,GSE69764
10,Exvivo Experiment,Homo sapiens,Expression profiling by array,NoData,GPL15242,70,GSE35861,GSE35861
11,Kenyan malaria patient Experiment,Homo sapiens,Expression profiling by array,NoData,GPL15240,24,GSE35860,GSE35860
12,Vietnam Timecourse Experiment,Homo sapiens,Expression profiling by array,NoData,GPL15241,36,GSE35859,GSE35859
13,Vietnamese malaria patient experiment,Homo sapiens,Expression profiling by array,NoData,GPL15240,37,GSE35858,GSE35858
14,Transcriptomic analysis of aggressive meningiomas identifies PTTG1 and LEPR1 as prognostic biomarkers independent of WHO grade,Homo sapiens,Expression profiling by array,NoData,GPL10558,62,GSE74385,GSE74385
15,Plasmodium falciparum infection,Homo sapiens,Expression profiling by array,NoData,GPL15242 GPL15240 GPL15241,167,GSE35936,GSE35936
16,Sorted leukocyte populations from acute HIV-1 patients.,Homo sapiens,Expression profiling by array,NoData,GPL6947,37,GSE25669,GSE25669
17,Gene expression data from human tonsillar B lymphocytes,Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE71810,GSE71810
18,Genomic and Transcriptomic Hallmarks of Poorly-Differentiated and Anaplastic Thyroid Cancers,Homo sapiens,Expression profiling by array,NoData,GPL570,37,GSE76039,GSE76039
19,Gene expression profiling of THP-1 cells on treatment with vitamin C,Homo sapiens,Expression profiling by array,NoData,GPL13252,19,GSE73421,GSE73421
20,HER2 and EGFR dependent activation of RalA in breast cancer,Homo sapiens,Expression profiling by array,NoData,GPL571,8,GSE19295,GSE19295
21,Cell type influences metastasis tropism,Homo sapiens,Expression profiling by array,NoData,GPL571,12,GSE19294,GSE19294
22,Expression Signatures Identify Origin of Primary and Therapeutic Strategies for Patients with Advanced Solid Tumors,Homo sapiens,Expression profiling by array,NoData,GPL570,96,GSE18549,GSE18549
23,BET Protein Inhibitor JQ1 Induces Cell Cycle Arrest in Mesenchymal Stem Cells,Homo sapiens,Expression profiling by array,NoData,GPL10904,6,GSE70577,GSE70577
24,m1A marks translation initiation sites in human and mouse messenger RNA,Mus musculus; Schizosaccharomyces pombe; Homo sapiens; Saccharomyces cerevisiae,Expression profiling by array; Expression profiling by high throughput sequencing; Other,NoData,NoData,52,GSE76058,GSE76058
25,m1A marks translation initiation sites in human and mouse messenger RNA [microarray],Homo sapiens,Expression profiling by array,NoData,GPL15207,4,GSE76057,GSE76057
26,Prox1 haploinsufficiency sensitizes the pancreas to KrasG12D-induced transformation,Homo sapiens,Expression profiling by array,NoData,GPL15207,6,GSE58547,GSE58547
27,Transcriptomic Effects of SSX2 on a Prostate Cancer Cell Line,Homo sapiens,Expression profiling by array,NoData,GPL17586,9,GSE77811,GSE77811
28,Retrospective and prospective validation of a 33-gene signature to predict recurrence of lung cancer after surgery.,Homo sapiens,Expression profiling by array,NoData,GPL570,156,GSE77803,GSE77803
29,The Long-HER Study,Homo sapiens,Expression profiling by array,NoData,GPL13667,53,GSE44272,GSE44272
30,Impact of Verteporfin on HCC cells,Homo sapiens,Expression profiling by array,NoData,GPL20103,6,GSE73396,GSE73396
31,"Expression data from SGBS human cells before and after 24 hours of stimulation with differentiation cocktail, with or without Scrambled (Scr) or Tenomodulin (TNMD) siRNA to knockdown the genes of interest.",Homo sapiens,Expression profiling by array,NoData,GPL16686,12,GSE76319,GSE76319
32,The histone variant H2A.X is a regulator of Epithelial–Mesenchymal Transition,Homo sapiens,Expression profiling by array,NoData,GPL16686,9,GSE75444,GSE75444
33,MiR-23b/-27b Targets in Prostate Cancer Cell Lines,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE76620,GSE76620
34,Gene Expression Profiling of human T cells: Combination Therapy with Anti–CTLA-4 and Anti–PD-1 Leads to Distinct Immunologic Changes In Vivo,Homo sapiens,Expression profiling by array,NoData,GPL17585,40,GSE77714,GSE77714
